RMSE,Num_Points,Density,LBP,Class
0.08439669932544584,61,0.488,32,50
0.04500405613456835,42,0.336,38,50
0.03118059033287354,40,0.32,48,50
0.019341431079819348,42,0.336,28,50
0.03136633120681452,50,0.4,14,50
0.018830696581740594,32,0.256,50,50
0.0262030029796358,24,0.192,44,50
0.02624065114630916,32,0.256,0,50
0.046909889768985656,26,0.208,22,50
0.01801218445956095,35,0.28,8,50
0.023659760760773887,37,0.296,62,50
0.021184247210519393,37,0.296,17,50
0.02860614096557174,54,0.432,23,50
0.10126581786347619,33,0.264,36,50
0.04212351736685104,36,0.288,60,50
0.049909205350741434,24,0.192,0,50
0.07147132944348841,29,0.232,13,50
0.030508604858490527,5,0.04,63,50
0.04417057162809563,54,0.432,59,50
0.024634890721023095,51,0.408,50,50
0.022905286004798436,54,0.432,27,50
0.03008152058657168,42,0.336,21,50
0.027844906268505023,66,0.528,14,50
0.028881689718772075,45,0.36,51,50
0.027996413187398886,31,0.248,52,50
0.03748524549792707,26,0.208,24,50
0.030194189466083675,24,0.192,54,50
0.009870275270863493,16,0.128,63,50
0.015471833099301339,36,0.288,8,50
0.02024319630220656,51,0.408,48,50
0.022805346074503872,58,0.464,8,50
0.06411161343328285,41,0.328,0,50
0.07190806562089962,75,0.6,57,50
0.10235962201555979,89,0.712,56,50
0.0736136810777986,24,0.192,12,50
0.04574632636494321,24,0.192,61,50
0.021693132664849187,38,0.304,63,50
0.017831629588332898,57,0.456,24,50
0.029368086234163038,82,0.656,44,50
0.03154022086213513,50,0.4,61,50
0.027094629405908746,40,0.32,36,50
0.02841725128710119,68,0.544,52,50
0.03379314635420157,46,0.368,38,50
0.027736638805411256,23,0.184,32,50
0.03154620594339343,22,0.176,60,50
5.257859481133665e-08,3,0.024,41,50
0.02197512929668803,41,0.328,12,50
0.02390623152882078,59,0.472,20,50
0.02343328620868265,75,0.6,41,50
0.06948871630973853,37,0.296,63,50
0.06011754170559038,80,0.64,9,50
0.04142688689527824,58,0.464,60,50
0.032084021827323075,19,0.152,29,50
0.04554674189968468,40,0.32,45,50
0.0270412912770506,52,0.416,5,50
0.01867447544124553,63,0.504,51,50
0.027091938269889367,87,0.696,21,50
0.020159283445907047,72,0.576,57,50
0.021445647584743287,63,0.504,44,50
0.02984949626369901,63,0.504,5,50
0.0250466805347253,71,0.568,48,50
0.027364704058989095,43,0.344,0,50
0.03575933959609849,18,0.144,8,50
0.020378146687102253,42,0.336,35,50
0.021445385458000517,99,0.792,21,50
0.05066307848509712,69,0.552,2,50
0.0628575990890934,59,0.472,5,50
0.04872176081642372,51,0.408,32,50
0.04953234439783436,61,0.488,19,50
0.026570771020272693,62,0.496,11,50
0.021087506610820515,52,0.416,34,50
0.02138560833295118,89,0.712,44,50
0.023191271464017532,88,0.704,39,50
0.01754588409149916,89,0.712,49,50
0.028474472239028766,65,0.52,40,50
0.02697629693792528,85,0.68,31,50
0.032477648286431564,49,0.392,24,50
0.03049946068561349,27,0.216,20,50
1.549046582627113e-05,5,0.04,53,50
0.00020744821329263168,11,0.088,8,50
0.010684989210939987,18,0.144,0,50
0.04362224154405524,79,0.632,31,50
0.04277614976818748,134,1.072,37,50
0.03782087509964297,71,0.568,11,50
0.0575203487975044,54,0.432,42,50
0.03305706693218528,63,0.504,31,50
0.023173822868930168,29,0.232,14,50
0.02099129093326425,39,0.312,1,50
0.023486645618586575,94,0.752,21,50
0.020882979351552016,71,0.568,18,50
0.02228886666560557,91,0.728,11,50
0.02358506825096387,79,0.632,16,50
0.029918107480820577,78,0.624,55,50
0.03642366872224699,72,0.576,0,50
0.035787847429074614,48,0.384,32,50
7.735796402614831e-05,10,0.08,11,50
0.010871254960678048,43,0.344,0,50
0.0098469300535795,58,0.464,19,50
0.020540756465560903,17,0.136,0,50
0.03475327835984184,213,1.704,0,50
0.012000190342404689,14,0.112,31,50
0.0484472082750272,161,1.288,8,50
0.026964687120926586,180,1.44,58,50
0.02858608207151533,51,0.408,62,50
0.018892557688589114,49,0.392,54,50
0.03215175861125282,54,0.432,9,50
0.018734405211472918,64,0.512,51,50
0.029890810785203666,72,0.576,8,50
0.017731896432474793,66,0.528,26,50
0.027727321193142578,82,0.656,52,50
0.026699429636712665,65,0.52,60,50
0.030313520006203586,50,0.4,30,50
0.014438270156321492,29,0.232,8,50
0.0008314278478242655,19,0.152,2,50
0.0020675384696539245,36,0.288,35,50
0.020426431564695084,23,0.184,63,50
0.027978942608640523,212,1.696,1,50
0.041262502502409815,395,3.16,59,50
0.018927272962021947,315,2.52,46,50
0.029872846463988727,124,0.992,20,50
0.02378344239439624,54,0.432,40,50
0.02624383304096896,54,0.432,47,50
0.01903386558016852,46,0.368,30,50
0.0251661350702945,59,0.472,43,50
0.022261144403042367,52,0.416,4,50
0.025326601847607502,66,0.528,16,50
0.032484963703391385,53,0.424,60,50
0.026635585233686133,57,0.456,37,50
0.017575190379185035,39,0.312,8,50
0.04319359672788696,18,0.144,17,50
0.013459792432590517,86,0.688,63,50
0.031182093016489956,73,0.584,0,50
0.0220373527080777,67,0.536,57,50
0.029581926541288356,108,0.864,16,50
0.03370690378020922,779,6.232,22,50
0.017101476578726127,511,4.088,2,50
0.02724380138432486,286,2.288,58,50
0.025002954440968856,83,0.664,40,50
0.024991415957457987,53,0.424,32,50
0.02476344255444025,62,0.496,8,50
0.01599142211383638,20,0.16,20,50
0.021594934062758718,29,0.232,59,50
0.03295751988452189,42,0.336,43,50
0.02824034166588134,47,0.376,43,50
0.027071989373218763,55,0.44,0,50
0.023458604548914182,38,0.304,32,50
0.016626862772023014,139,1.112,12,50
0.013622653983615297,189,1.512,48,50
0.04969251539122775,305,2.44,1,50
0.02425762518158087,1370,10.96,34,50
0.026519112632771485,698,5.584,63,50
0.024327673135102437,399,3.192,58,50
0.028906271762886997,180,1.44,47,50
0.021928091805286782,84,0.672,47,50
0.02228202826798085,64,0.512,32,50
0.022670380751836396,32,0.256,45,50
0.026664334175648455,21,0.168,54,50
0.01564363972124171,9,0.072,59,50
0.03320173494520762,24,0.192,32,50
0.02941804092596853,45,0.36,63,50
0.029043812620628575,36,0.288,31,50
0.012753140663455564,251,2.008,54,50
0.01184723897964902,226,1.808,4,50
0.05594533733266113,491,3.928,4,50
0.02680617387726485,2069,16.552,15,50
